apply - [вживати!, переважати, світити, писати]
capacity - [здатність!, безпорадність, міцність, вогкість] 
decisive - [вирішальний!, переконаний, відповідний, розбитий]
employ - [звільнити, найняти!, відпрацювати, перервати] 
fairness - [справедливість!, розбещеність, підступність, слабкість]
generous - [щедрий!, закритий, норовливий, жовтий]
harassment - [домагання!, перевівка, аналітика, ходити]
imitate - [літати, прослідковувати, наслідувати!, споглядати] 
knob - [гарувати, набалдашник!, розвінчувати, кліпати]
ladder - [олівець, лопата, сходи!, наліпка]
mild - [задумувати, лагідний!, гордливий, кортіти] 
panel - [панно!, розпрямляти, тремпіти, проголошувати]
perk - [спирт, антисентик, самовпевнений!, перескочити] 
retail - [поширювати!, плавати, перепрошувати, нагатися] 
sheer - [наголошувати, чистий!, цінувати, розраховувати]
sack - [перерізати, мішок!, шмат, ніготь]
target - [маржина, лінія, стріла, ціль!]
unproductive - [непродуктивний!, перелітний, спрощений, тривалий]
verify - [розподілити, перевірити!, перемогти, затиснути]
wardrobe - [шафа!, тумба, стіл, корито]
