diagram - [діаграма!, чорний, гранж, світло]
calf - [теля!, нога, курка, сова] 
education - [освіта!, дорога, кінь, кнопка]
final - [вода, фінальний!, порядний, відповідальний] 
immigration - [іміграція!, тарілка, каблучка, вода]
ingredient - [інгредієнт!, дошка, крейда, спати]
joke - [жарт!, зерно, мед, лак]
jungle - [орбіта, топити, джунглі!, змія] 
lady - [поні, леді!, двері, лілія]
method - [марудний, джинси, метод!, вичерпати]
oil - [бурштин, олія!, пісок, камінь] 
owner - [власник!, робити, гриби, ризина]
plain - [білий, просити, простий!, черевики] 
rainforest - [тропіки!, ліс, зелень, кущ] 
sailor - [капітан, моряк!, море, вітрило]
quietly - [говіркий, тихо!, широко, сповільнюватися]
shock - [кричати, гарувати, різати, шок!]
tissue - [серветка!, лист, проблема, жувати]
youth - [дитина, молодий!, павільйон, шнурки]
zone - [зона!, орбіта, надихати, мрія]
